totim,kstp,kper,zone,STO-SS-IN,STO-SY-IN,DRN-IN,RIV-IN,RCHA-IN,STO-SS-OUT,STO-SY-OUT,DRN-OUT,RIV-OUT,RCHA-OUT,FROM ZONE 0,FROM ZONE 1,TO ZONE 0,TO ZONE 1
1.000000000000000,1,1,1,1786.631113797158,834.7583025275500,.000000000000000,2364.448449226014,20919.97999999964,5474.157014313870,3551.534665832789,12714.72657842175,4165.399607477621,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
2.000000000000000,1,2,1,1312.224976666291,708.2404102987440,.000000000000000,2322.592705499119,21286.02999999920,5138.387045541573,3576.537552444105,12790.99141019341,4123.172084375943,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
3.000000000000000,1,3,1,1033.295915033811,599.8284373656644,.000000000000000,2284.000043430438,22147.22999999929,5251.898171624810,3788.311668275753,12898.86525385203,4125.279302916430,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
4.000000000000000,1,4,1,864.0524781636122,533.1860324804343,.000000000000000,2248.664748333206,22505.68999999997,5178.941614116267,3803.910872253859,13022.09281550631,4146.647957938199,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
5.000000000000000,1,5,1,712.7852763587547,456.8131164877949,.000000000000000,2215.536394982066,23437.56999999909,5422.092971572917,4044.092217919403,13168.78015661587,4187.739441893431,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
6.000000000000000,1,6,1,652.8560478906127,432.3343471153408,.000000000000000,2186.322232909993,23088.69000000061,5051.138890903348,3778.297501232347,13307.31444394830,4223.451851828429,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
7.000000000000000,1,7,1,580.0919174205949,378.1600786157751,.000000000000000,2159.626710466177,23439.19999999871,5047.137395987516,3791.657385243679,13452.13033674878,4266.153588565998,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
8.000000000000000,1,8,1,543.1848432272895,355.5686176590539,.000000000000000,2136.355324965396,23130.25000000091,4729.664177230182,3544.002837278630,13587.65537347683,4304.036446612343,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
9.000000000000000,1,9,1,505.8781598658051,328.4604508776064,.000000000000000,2115.313402638225,22932.47000000036,4475.831847421930,3351.180856397479,13716.94491758562,4338.164393589140,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
10.00000000000000,1,10,1,475.3566053038035,305.3265195530660,.000000000000000,2096.274195672513,22690.94999999976,4213.250125492228,3147.877714613197,13838.68342681888,4368.096053616477,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
11.00000000000000,1,11,1,449.5309164884495,285.4590082135588,.000000000000000,2079.124055020362,22444.77000000091,3964.190397094073,2948.452027016115,13952.29781217762,4393.943766329157,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
12.00000000000000,1,12,1,426.7351657238984,267.7364410243404,.000000000000000,2063.770155605950,22225.82999999999,3743.500552628249,2765.846770071874,14058.33658728955,4416.387852336659,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
13.00000000000000,1,13,1,406.0676680906100,251.0239273705891,.000000000000000,2049.840671446861,22007.50999999955,3530.702365490771,2590.754089809106,14157.28273951434,4435.703073831643,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
14.00000000000000,1,14,1,390.0138193649177,237.3348111299856,.000000000000000,2037.718669243154,21776.42000000041,3326.371970143425,2413.196044345344,14248.89694399481,4453.022345334533,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
15.00000000000000,1,15,1,376.7737888417074,225.5036269553566,.000000000000000,2027.235144776190,21557.22999999918,3137.744515881779,2246.766089166846,14333.79090810196,4468.441049669080,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
16.00000000000000,1,16,1,364.0460586465964,215.0319657295842,.000000000000000,2018.471037880441,21354.78999999988,2965.963881834110,2091.325387839563,14411.91664656612,4483.133147591327,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
17.00000000000000,1,17,1,496.6056814488669,285.5892816120793,.000000000000000,2011.580901253479,20364.61000000066,2547.823669288208,1673.309064068848,14465.64607750563,4471.607062737189,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
18.00000000000000,1,18,1,467.6557427429443,274.8977454833017,.000000000000000,2005.336624556056,20165.45999999843,2393.562373518319,1543.490008186857,14513.51007191834,4462.787687999989,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
19.00000000000000,1,19,1,445.6653670519544,264.6424821885321,.000000000000000,2000.201523730549,19966.89999999880,2248.698356723773,1416.152395610520,14555.73243169015,4456.826185529437,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
20.00000000000000,1,20,1,430.0227897475562,257.0035919648209,.000000000000000,1995.732837351739,19777.69999999992,2113.935778998225,1301.887924090180,14592.99041149572,4451.645132236124,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
21.00000000000000,1,21,1,598.6786699983346,371.9214302298186,.000000000000000,1992.320428023236,18891.23000000077,1807.274991296676,1008.962134770917,14608.88826790374,4429.025140010448,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
22.00000000000000,1,22,1,571.4559469556863,368.3569423672495,.000000000000000,1989.299869493167,18703.98999999970,1687.811827352433,914.8331827787791,14620.73560589354,4409.722144316313,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
