totim,time_step,stress_period,name,ZONE_1
7.9999995,17,7,TO_CONSTANT_HEAD,0.0
7.9999995,17,7,TO_RECHARGE,0.0
7.9999995,17,7,TO_STREAM_LEAKAGE,25063.758
7.9999995,17,7,TO_ZONE_1,0.0
7.9999995,17,7,TOTAL_OUT,111140.54
7.9999995,17,7,IN-OUT,27.226562
7.9999995,17,7,PERCENT_DISCREPANCY,0.02450042
8.999999,17,8,FROM_STORAGE,78535.56
8.999999,17,8,FROM_CONSTANT_HEAD,0.0
8.999999,17,8,FROM_RECHARGE,28844.887
8.999999,17,8,FROM_STREAM_LEAKAGE,0.0
8.999999,17,8,FROM_ZONE_1,0.0
8.999999,17,8,TOTAL_IN,107380.45
8.999999,17,8,TO_STORAGE,82309.94
8.999999,17,8,TO_CONSTANT_HEAD,0.0
8.999999,17,8,TO_RECHARGE,0.0
8.999999,17,8,TO_STREAM_LEAKAGE,25099.95
8.999999,17,8,TO_ZONE_1,0.0
8.999999,17,8,TOTAL_OUT,107409.89
8.999999,17,8,IN-OUT,29.4375
8.999999,17,8,PERCENT_DISCREPANCY,0.02741045
9.999999,17,9,FROM_STORAGE,75397.92
9.999999,17,9,FROM_CONSTANT_HEAD,0.0
9.999999,17,9,FROM_RECHARGE,28844.887
9.999999,17,9,FROM_STREAM_LEAKAGE,0.0
9.999999,17,9,FROM_ZONE_1,0.0
9.999999,17,9,TOTAL_IN,104242.81
9.999999,17,9,TO_STORAGE,79145.91
9.999999,17,9,TO_CONSTANT_HEAD,0.0
9.999999,17,9,TO_RECHARGE,0.0
9.999999,17,9,TO_STREAM_LEAKAGE,25133.707
9.999999,17,9,TO_ZONE_1,0.0
9.999999,17,9,TOTAL_OUT,104279.61
9.999999,17,9,IN-OUT,36.796875
9.999999,17,9,PERCENT_DISCREPANCY,0.03529297
10.999999,17,10,FROM_STORAGE,72645.89
10.999999,17,10,FROM_CONSTANT_HEAD,0.0
10.999999,17,10,FROM_RECHARGE,28844.887
10.999999,17,10,FROM_STREAM_LEAKAGE,0.0
10.999999,17,10,FROM_ZONE_1,0.0
10.999999,17,10,TOTAL_IN,101490.78
10.999999,17,10,TO_STORAGE,76368.734
10.999999,17,10,TO_CONSTANT_HEAD,0.0
10.999999,17,10,TO_RECHARGE,0.0
10.999999,17,10,TO_STREAM_LEAKAGE,25165.455
10.999999,17,10,TO_ZONE_1,0.0
10.999999,17,10,TOTAL_OUT,101534.19
10.999999,17,10,IN-OUT,43.40625
10.999999,17,10,PERCENT_DISCREPANCY,0.04275952
11.999999,17,11,FROM_STORAGE,69951.85
11.999999,17,11,FROM_CONSTANT_HEAD,0.0
11.999999,17,11,FROM_RECHARGE,28844.887
11.999999,17,11,FROM_STREAM_LEAKAGE,0.0
11.999999,17,11,FROM_ZONE_1,0.0
11.999999,17,11,TOTAL_IN,98796.734
11.999999,17,11,TO_STORAGE,73646.58
11.999999,17,11,TO_CONSTANT_HEAD,0.0
11.999999,17,11,TO_RECHARGE,0.0
11.999999,17,11,TO_STREAM_LEAKAGE,25195.559
11.999999,17,11,TO_ZONE_1,0.0
11.999999,17,11,TOTAL_OUT,98842.14
11.999999,17,11,IN-OUT,45.40625
11.999999,17,11,PERCENT_DISCREPANCY,0.045948703
12.999999,17,12,FROM_STORAGE,67329.19
12.999999,17,12,FROM_CONSTANT_HEAD,0.0
12.999999,17,12,FROM_RECHARGE,28844.887
12.999999,17,12,FROM_STREAM_LEAKAGE,0.0
12.999999,17,12,FROM_ZONE_1,0.0
12.999999,17,12,TOTAL_IN,96174.08
12.999999,17,12,TO_STORAGE,70983.11
12.999999,17,12,TO_CONSTANT_HEAD,0.0
12.999999,17,12,TO_RECHARGE,0.0
12.999999,17,12,TO_STREAM_LEAKAGE,25224.045
12.999999,17,12,TO_ZONE_1,0.0
12.999999,17,12,TOTAL_OUT,96207.16
12.999999,17,12,IN-OUT,33.078125
12.999999,17,12,PERCENT_DISCREPANCY,0.0343881
13.999999,17,13,FROM_STORAGE,65333.668
13.999999,17,13,FROM_CONSTANT_HEAD,0.0
13.999999,17,13,FROM_RECHARGE,28844.887
13.999999,17,13,FROM_STREAM_LEAKAGE,0.0
13.999999,17,13,FROM_ZONE_1,0.0
13.999999,17,13,TOTAL_IN,94178.555
13.999999,17,13,TO_STORAGE,68973.33
13.999999,17,13,TO_CONSTANT_HEAD,0.0
13.999999,17,13,TO_RECHARGE,0.0
13.999999,17,13,TO_STREAM_LEAKAGE,25251.238
13.999999,17,13,TO_ZONE_1,0.0
13.999999,17,13,TOTAL_OUT,94224.56
13.999999,17,13,IN-OUT,46.007812
13.999999,17,13,PERCENT_DISCREPANCY,0.048839755
14.999999,17,14,FROM_STORAGE,63608.46
14.999999,17,14,FROM_CONSTANT_HEAD,0.0
14.999999,17,14,FROM_RECHARGE,28844.887
14.999999,17,14,FROM_STREAM_LEAKAGE,0.0
14.999999,17,14,FROM_ZONE_1,0.0
14.999999,17,14,TOTAL_IN,92453.34
14.999999,17,14,TO_STORAGE,67238.82
14.999999,17,14,TO_CONSTANT_HEAD,0.0
14.999999,17,14,TO_RECHARGE,0.0
14.999999,17,14,TO_STREAM_LEAKAGE,25277.324
14.999999,17,14,TO_ZONE_1,0.0
14.999999,17,14,TOTAL_OUT,92516.14
14.999999,17,14,IN-OUT,62.796875
14.999999,17,14,PERCENT_DISCREPANCY,0.06789971
15.999999,17,15,FROM_STORAGE,61741.277
15.999999,17,15,FROM_CONSTANT_HEAD,0.0
15.999999,17,15,FROM_RECHARGE,28844.887
15.999999,17,15,FROM_STREAM_LEAKAGE,0.0
15.999999,17,15,FROM_ZONE_1,0.0
15.999999,17,15,TOTAL_IN,90586.164
15.999999,17,15,TO_STORAGE,65346.062
15.999999,17,15,TO_CONSTANT_HEAD,0.0
15.999999,17,15,TO_RECHARGE,0.0
15.999999,17,15,TO_STREAM_LEAKAGE,25302.434
15.999999,17,15,TO_ZONE_1,0.0
15.999999,17,15,TOTAL_OUT,90648.5
15.999999,17,15,IN-OUT,62.335938
15.999999,17,15,PERCENT_DISCREPANCY,0.06879031
16.999998,17,16,FROM_STORAGE,59748.53
16.999998,17,16,FROM_CONSTANT_HEAD,0.0
16.999998,17,16,FROM_RECHARGE,28844.887
16.999998,17,16,FROM_STREAM_LEAKAGE,0.0
16.999998,17,16,FROM_ZONE_1,0.0
16.999998,17,16,TOTAL_IN,88593.42
16.999998,17,16,TO_STORAGE,63308.4
16.999998,17,16,TO_CONSTANT_HEAD,0.0
16.999998,17,16,TO_RECHARGE,0.0
16.999998,17,16,TO_STREAM_LEAKAGE,25326.54
16.999998,17,16,TO_ZONE_1,0.0
16.999998,17,16,TOTAL_OUT,88634.94
16.999998,17,16,IN-OUT,41.515625
16.999998,17,16,PERCENT_DISCREPANCY,0.046849865
17.999998,17,17,FROM_STORAGE,57971.555
17.999998,17,17,FROM_CONSTANT_HEAD,0.0
17.999998,17,17,FROM_RECHARGE,28844.887
17.999998,17,17,FROM_STREAM_LEAKAGE,0.0
17.999998,17,17,FROM_ZONE_1,0.0
17.999998,17,17,TOTAL_IN,86816.44
17.999998,17,17,TO_STORAGE,61496.797
17.999998,17,17,TO_CONSTANT_HEAD,0.0
17.999998,17,17,TO_RECHARGE,0.0
17.999998,17,17,TO_STREAM_LEAKAGE,25349.846
17.999998,17,17,TO_ZONE_1,0.0
17.999998,17,17,TOTAL_OUT,86846.64
17.999998,17,17,IN-OUT,30.203125
17.999998,17,17,PERCENT_DISCREPANCY,0.034783587
18.999998,17,18,FROM_STORAGE,56481.97
18.999998,17,18,FROM_CONSTANT_HEAD,0.0
18.999998,17,18,FROM_RECHARGE,28844.887
18.999998,17,18,FROM_STREAM_LEAKAGE,0.0
18.999998,17,18,FROM_ZONE_1,0.0
18.999998,17,18,TOTAL_IN,85326.86
18.999998,17,18,TO_STORAGE,59984.547
18.999998,17,18,TO_CONSTANT_HEAD,0.0
18.999998,17,18,TO_RECHARGE,0.0
18.999998,17,18,TO_STREAM_LEAKAGE,25372.45
18.999998,17,18,TO_ZONE_1,0.0
18.999998,17,18,TOTAL_OUT,85357.0
18.999998,17,18,IN-OUT,30.140625
18.999998,17,18,PERCENT_DISCREPANCY,0.035317488
